Nom de la commune;Code département;Population totale;
L' Abergement-Clémenciat;01;785;
L' Abergement-de-Varey;01;244;
Ambérieu-en-Bugey;01;14 518;
Ambérieux-en-Dombes;01;1 705;
Ambléon;01;116;
Ambronay;01;2 788;
Ambutrix;01;763;
Andert-et-Condon;01;344;
Anglefort;01;1 142;
Apremont;01;394;
Aranc;01;330;
Arandas;01;151;
Arbent;01;3 470;
Arbigny;01;466;
Arboys en Bugey;01;656;
Argis;01;452;
Armix;01;26;
Ars-sur-Formans;01;1 418;
Artemare;01;1 248;
Asnières-sur-Saône;01;66;
Attignat;01;3 336;
Bâgé-Dommartin;01;4 191;
Bâgé-le-Châtel;01;971;
Balan;01;2 920;
Baneins;01;606;
Béard-Géovreissiat;01;1 066;
Beaupont;01;694;
Beauregard;01;908;
Béligneux;01;3 345;
Bellegarde-sur-Valserine;01;11 965;
Belley;01;9 542;
Belleydoux;01;326;
Bellignat;01;3 852;
Belmont-Luthézieu;01;606;
Bénonces;01;298;
Bény;01;783;
Béon;01;472;
Béréziat;01;501;
Bettant;01;771;
Bey;01;290;
Beynost;01;4 674;
Billiat;01;626;
Birieux;01;289;
Biziat;01;866;
Blyes;01;1 017;
Bohas-Meyriat-Rignat;01;915;
La Boisse;01;3 074;
Boissey;01;345;
Bolozon;01;90;
Bouligneux;01;325;
Bourg-en-Bresse;01;43 454;
Bourg-Saint-Christophe;01;1 353;
Boyeux-Saint-Jérôme;01;360;
Boz;01;525;
Brégnier-Cordon;01;868;
Brénaz;01;106;
Brénod;01;544;
Brens;01;1 196;
Bressolles;01;912;
Brion;01;523;
Briord;01;1 004;
Buellas;01;1 814;
La Burbanche;01;71;
Ceignes;01;264;
Cerdon;01;798;
Certines;01;1 573;
Cessy;01;4 955;
Ceyzériat;01;3 203;
Ceyzérieu;01;1 038;
Chalamont;01;2 438;
Chaleins;01;1 329;
Chaley;01;138;
Challes-la-Montagne;01;195;
Challex;01;1 467;
Champagne-en-Valromey;01;850;
Champdor-Corcelles;01;672;
Champfromier;01;744;
Chanay;01;647;
Chaneins;01;913;
Chanoz-Châtenay;01;851;
La Chapelle-du-Châtelard;01;392;
Charix;01;295;
Charnoz-sur-Ain;01;951;
Château-Gaillard;01;2 138;
Châtenay;01;342;
Châtillon-en-Michaille;01;3 656;
Châtillon-la-Palud;01;1 649;
Châtillon-sur-Chalaronne;01;5 095;
Chavannes-sur-Reyssouze;01;764;
Chaveyriat;01;1 036;
Chavornay;01;230;
Chazey-Bons;01;1 113;
Chazey-sur-Ain;01;1 549;
Cheignieu-la-Balme;01;142;
Chevillard;01;162;
Chevroux;01;974;
Chevry;01;1 700;
Chézery-Forens;01;471;
Civrieux;01;1 684;
Cize;01;174;
Cleyzieu;01;137;
Coligny;01;1 212;
Collonges;01;2 272;
Colomieu;01;132;
Conand;01;122;
Condamine;01;451;
Condeissiat;01;832;
Confort;01;631;
Confrançon;01;1 360;
Contrevoz;01;515;
Conzieu;01;154;
Corbonod;01;1 290;
Corlier;01;114;
Cormaranche-en-Bugey;01;879;
Cormoranche-sur-Saône;01;1 153;
Cormoz;01;677;
Corveissiat;01;636;
Courmangoux;01;514;
Courtes;01;312;
Crans;01;267;
Cras-sur-Reyssouze;01;1 472;
Cressin-Rochefort;01;404;
Crottet;01;1 784;
Crozet;01;2 193;
Cruzilles-lès-Mépillat;01;880;
Culoz;01;3 109;
Curciat-Dongalon;01;448;
Curtafond;01;788;
Cuzieu;01;449;
Dagneux;01;4 768;
Divonne-les-Bains;01;9 692;
Dompierre-sur-Chalaronne;01;441;
